time,open,high,low,close,volume,open_oi,close_oi
2025-09-15,5551.0,5551.0,5514.0,5533.0,351.0,0.0,286.0
2025-09-16,5538.0,5555.0,5530.0,5530.0,502.0,286.0,698.0
2025-09-17,5530.0,5535.0,5511.0,5519.0,225.0,698.0,830.0
2025-09-18,5510.0,5523.0,5469.0,5474.0,724.0,830.0,1376.0
2025-09-19,5482.0,5482.0,5457.0,5469.0,587.0,1376.0,1778.0
2025-09-22,5471.0,5476.0,5454.0,5455.0,535.0,1778.0,2042.0
2025-09-23,5458.0,5459.0,5428.0,5433.0,559.0,2042.0,2291.0
2025-09-24,5450.0,5487.0,5433.0,5478.0,666.0,2291.0,2422.0
2025-09-25,5477.0,5495.0,5466.0,5470.0,386.0,2422.0,2436.0
2025-09-26,5469.0,5470.0,5448.0,5452.0,2577.0,2436.0,3757.0
2025-09-29,5454.0,5468.0,5434.0,5437.0,1023.0,3757.0,4218.0
2025-09-30,5436.0,5457.0,5431.0,5453.0,793.0,4218.0,4494.0
2025-10-09,5461.0,5502.0,5443.0,5489.0,722.0,4494.0,4714.0
2025-10-10,5491.0,5500.0,5467.0,5472.0,613.0,4714.0,4813.0
2025-10-13,5469.0,5480.0,5436.0,5449.0,629.0,4813.0,5130.0
2025-10-14,5424.0,5425.0,5377.0,5386.0,1544.0,5130.0,6062.0
2025-10-15,5383.0,5402.0,5377.0,5389.0,846.0,6062.0,6287.0
2025-10-16,5382.0,5393.0,5373.0,5391.0,736.0,6287.0,6554.0
2025-10-17,5400.0,5406.0,5386.0,5393.0,528.0,6554.0,6607.0
2025-10-20,5400.0,5422.0,5396.0,5403.0,809.0,6607.0,6841.0
2025-10-21,5411.0,5415.0,5398.0,5410.0,545.0,6841.0,6895.0
2025-10-22,5398.0,5404.0,5368.0,5401.0,1514.0,6895.0,7161.0
2025-10-23,5393.0,5425.0,5382.0,5419.0,1740.0,7161.0,7605.0
2025-10-24,5411.0,5424.0,5403.0,5412.0,925.0,7605.0,7945.0
2025-10-27,5405.0,5412.0,5386.0,5410.0,975.0,7945.0,8219.0
2025-10-28,5395.0,5439.0,5390.0,5426.0,2900.0,8219.0,8955.0
2025-10-29,5430.0,5440.0,5422.0,5437.0,758.0,8955.0,9101.0
2025-10-30,5440.0,5441.0,5410.0,5413.0,964.0,9101.0,8973.0
2025-10-31,5408.0,5427.0,5402.0,5422.0,692.0,8973.0,9067.0
2025-11-03,5425.0,5437.0,5409.0,5434.0,1509.0,9067.0,9065.0
2025-11-04,5434.0,5448.0,5428.0,5435.0,987.0,9065.0,9075.0
2025-11-05,5427.0,5430.0,5391.0,5393.0,2624.0,9075.0,9744.0
2025-11-06,5391.0,5399.0,5380.0,5390.0,4309.0,9744.0,11206.0
2025-11-07,5402.0,5402.0,5388.0,5398.0,1587.0,11206.0,11069.0
2025-11-10,5395.0,5405.0,5390.0,5403.0,1703.0,11069.0,10961.0
2025-11-11,5406.0,5412.0,5401.0,5404.0,3132.0,10961.0,12026.0
2025-11-12,5407.0,5407.0,5399.0,5405.0,923.0,12026.0,12170.0
2025-11-13,5403.0,5421.0,5394.0,5421.0,2369.0,12170.0,12636.0
2025-11-14,5418.0,5420.0,5400.0,5400.0,1768.0,12636.0,13116.0
2025-11-17,5407.0,5409.0,5390.0,5398.0,1942.0,13116.0,13560.0
2025-11-18,5397.0,5402.0,5363.0,5369.0,4509.0,13560.0,15094.0
2025-11-19,5367.0,5370.0,5344.0,5350.0,3562.0,15094.0,16038.0
2025-11-20,5350.0,5362.0,5337.0,5337.0,3294.0,16038.0,17276.0
2025-11-21,5339.0,5348.0,5316.0,5321.0,2783.0,17276.0,17983.0
2025-11-24,5328.0,5339.0,5302.0,5336.0,2917.0,17983.0,18406.0
2025-11-25,5339.0,5347.0,5325.0,5336.0,3672.0,18406.0,18875.0
2025-11-26,5338.0,5347.0,5322.0,5324.0,2135.0,18875.0,19534.0
2025-11-27,5329.0,5350.0,5325.0,5342.0,1951.0,19534.0,19633.0
2025-11-28,5343.0,5354.0,5337.0,5343.0,1515.0,19633.0,19831.0
2025-12-01,5345.0,5349.0,5332.0,5345.0,1726.0,19831.0,19977.0
2025-12-02,5338.0,5340.0,5314.0,5328.0,6072.0,19977.0,21363.0
2025-12-03,5325.0,5329.0,5316.0,5317.0,4413.0,21363.0,22981.0
2025-12-04,5322.0,5322.0,5271.0,5283.0,8426.0,22981.0,25435.0
2025-12-05,5283.0,5288.0,5252.0,5253.0,5117.0,25435.0,26984.0
2025-12-08,5255.0,5271.0,5251.0,5262.0,6374.0,26984.0,28876.0
