time,open,high,low,close,volume,open_oi,close_oi
2025-08-27,4141.0,4141.0,4141.0,4141.0,0.0,0.0,0.0
2025-08-28,4141.0,4141.0,4141.0,4141.0,0.0,0.0,0.0
2025-08-29,4100.0,4100.0,4081.0,4081.0,2.0,0.0,1.0
2025-09-01,4120.0,4120.0,4120.0,4120.0,1.0,1.0,2.0
2025-09-02,4164.0,4164.0,4113.0,4113.0,4.0,2.0,3.0
2025-09-03,4136.0,4150.0,4136.0,4150.0,2.0,3.0,4.0
2025-09-04,4148.0,4148.0,4116.0,4119.0,5.0,4.0,6.0
2025-09-05,4136.0,4136.0,4136.0,4136.0,0.0,6.0,6.0
2025-09-08,4138.0,4138.0,4138.0,4138.0,1.0,6.0,7.0
2025-09-09,4157.0,4169.0,4157.0,4169.0,2.0,7.0,7.0
2025-09-10,4163.0,4163.0,4163.0,4163.0,0.0,7.0,7.0
2025-09-11,4185.0,4203.0,4185.0,4203.0,4.0,7.0,9.0
2025-09-12,4187.0,4187.0,4187.0,4187.0,0.0,9.0,9.0
2025-09-15,4225.0,4225.0,4225.0,4225.0,1.0,9.0,10.0
2025-09-16,4214.0,4214.0,4200.0,4203.0,4.0,10.0,9.0
2025-09-17,4204.0,4204.0,4204.0,4204.0,0.0,9.0,9.0
2025-09-18,4204.0,4204.0,4204.0,4204.0,0.0,9.0,9.0
2025-09-19,4204.0,4204.0,4204.0,4204.0,0.0,9.0,9.0
2025-09-22,4100.0,4103.0,4081.0,4103.0,5.0,9.0,12.0
2025-09-23,4080.0,4080.0,4080.0,4080.0,1.0,12.0,13.0
2025-09-24,4098.0,4099.0,4091.0,4091.0,4.0,13.0,14.0
2025-09-25,4102.0,4122.0,4102.0,4122.0,8.0,14.0,15.0
2025-09-26,4102.0,4117.0,4102.0,4117.0,2.0,15.0,15.0
2025-09-29,4120.0,4120.0,4099.0,4099.0,10.0,15.0,14.0
2025-09-30,4074.0,4118.0,4060.0,4060.0,6.0,14.0,17.0
2025-10-09,3995.0,3995.0,3935.0,3942.0,4.0,17.0,17.0
2025-10-10,3972.0,3980.0,3956.0,3966.0,25.0,17.0,34.0
2025-10-13,3981.0,3981.0,3908.0,3912.0,19.0,34.0,36.0
2025-10-14,3918.0,3918.0,3917.0,3917.0,3.0,36.0,35.0
2025-10-15,3910.0,3910.0,3905.0,3905.0,51.0,35.0,83.0
2025-10-16,3938.0,3961.0,3938.0,3961.0,6.0,83.0,82.0
2025-10-17,3936.0,3936.0,3866.0,3887.0,29.0,82.0,89.0
2025-10-20,3890.0,3890.0,3860.0,3877.0,68.0,89.0,124.0
2025-10-21,3855.0,3873.0,3854.0,3873.0,8.0,124.0,121.0
2025-10-22,3869.0,3869.0,3864.0,3868.0,6.0,121.0,123.0
2025-10-23,3913.0,3928.0,3870.0,3928.0,14.0,123.0,125.0
2025-10-24,3947.0,3948.0,3917.0,3934.0,5.0,125.0,124.0
2025-10-27,3995.0,3995.0,3967.0,3967.0,10.0,124.0,124.0
2025-10-28,3990.0,3994.0,3990.0,3994.0,2.0,124.0,124.0
2025-10-29,3989.0,4033.0,3989.0,4033.0,12.0,124.0,122.0
2025-10-30,4024.0,4026.0,4011.0,4011.0,10.0,122.0,122.0
2025-10-31,4030.0,4031.0,4030.0,4031.0,3.0,122.0,121.0
2025-11-03,4049.0,4049.0,4018.0,4018.0,4.0,121.0,120.0
2025-11-04,4018.0,4018.0,3936.0,3936.0,13.0,120.0,129.0
2025-11-05,3905.0,3946.0,3883.0,3932.0,12.0,129.0,130.0
2025-11-06,3909.0,3914.0,3909.0,3914.0,4.0,130.0,129.0
2025-11-07,3948.0,3948.0,3921.0,3926.0,13.0,129.0,138.0
2025-11-10,3935.0,3949.0,3935.0,3949.0,5.0,138.0,140.0
2025-11-11,3942.0,3942.0,3942.0,3942.0,0.0,140.0,140.0
2025-11-12,3949.0,3960.0,3948.0,3959.0,4.0,140.0,141.0
2025-11-13,3941.0,3941.0,3920.0,3920.0,5.0,141.0,141.0
2025-11-14,3963.0,3963.0,3939.0,3961.0,13.0,141.0,145.0
2025-11-17,3965.0,3970.0,3965.0,3968.0,8.0,145.0,145.0
2025-11-18,3968.0,3968.0,3952.0,3968.0,33.0,145.0,150.0
2025-11-19,3964.0,3977.0,3964.0,3976.0,27.0,150.0,174.0
2025-11-20,3968.0,3968.0,3968.0,3968.0,2.0,174.0,174.0
2025-11-21,3966.0,3966.0,3958.0,3961.0,8.0,174.0,172.0
2025-11-24,3946.0,3946.0,3920.0,3920.0,19.0,172.0,177.0
2025-11-25,3943.0,3952.0,3943.0,3952.0,10.0,177.0,177.0
2025-11-26,3950.0,3950.0,3950.0,3950.0,31.0,177.0,182.0
2025-11-27,3962.0,3966.0,3956.0,3956.0,18.0,182.0,187.0
2025-11-28,3976.0,4003.0,3959.0,3999.0,15.0,187.0,191.0
2025-12-01,3983.0,3983.0,3976.0,3976.0,10.0,191.0,190.0
2025-12-02,3989.0,3995.0,3979.0,3979.0,36.0,190.0,183.0
2025-12-03,3960.0,3960.0,3959.0,3959.0,7.0,183.0,186.0
2025-12-04,3963.0,3977.0,3963.0,3977.0,7.0,186.0,190.0
2025-12-05,3957.0,3957.0,3946.0,3946.0,7.0,190.0,194.0
2025-12-08,3956.0,3966.0,3956.0,3966.0,27.0,194.0,180.0
2025-12-09,3973.0,3973.0,3927.0,3930.0,10.0,180.0,184.0
2025-12-10,3906.0,3927.0,3895.0,3923.0,35.0,184.0,198.0
2025-12-11,3927.0,3942.0,3899.0,3899.0,16.0,198.0,207.0
2025-12-12,3874.0,3874.0,3820.0,3828.0,18.0,207.0,207.0
2025-12-15,3842.0,3851.0,3825.0,3841.0,39.0,207.0,216.0
2025-12-16,3842.0,3844.0,3823.0,3826.0,16.0,216.0,224.0
2025-12-17,3821.0,3824.0,3805.0,3815.0,17.0,224.0,229.0
2025-12-18,3831.0,3845.0,3831.0,3839.0,6.0,229.0,232.0
2025-12-19,3839.0,3844.0,3838.0,3838.0,5.0,232.0,233.0
2025-12-22,3818.0,3849.0,3799.0,3834.0,24.0,233.0,238.0
2025-12-23,3858.0,3858.0,3785.0,3793.0,50.0,238.0,247.0
2025-12-24,3827.0,3846.0,3826.0,3838.0,24.0,247.0,246.0
2025-12-25,3845.0,3879.0,3844.0,3857.0,36.0,246.0,260.0
2025-12-26,3852.0,3852.0,3830.0,3847.0,39.0,260.0,274.0
2025-12-29,3856.0,3859.0,3830.0,3830.0,19.0,274.0,275.0
2025-12-30,3857.0,3858.0,3832.0,3850.0,44.0,275.0,277.0
2025-12-31,3875.0,3897.0,3874.0,3889.0,31.0,277.0,281.0
2026-01-05,3894.0,3925.0,3891.0,3891.0,22.0,281.0,290.0
2026-01-06,3917.0,3957.0,3909.0,3957.0,24.0,290.0,291.0
2026-01-07,3965.0,4001.0,3962.0,3986.0,41.0,291.0,279.0
2026-01-08,3974.0,3987.0,3953.0,3953.0,30.0,279.0,281.0
2026-01-09,3947.0,3987.0,3947.0,3985.0,51.0,281.0,277.0
2026-01-12,3985.0,4032.0,3985.0,4007.0,37.0,277.0,263.0
2026-01-13,4009.0,4077.0,3985.0,4063.0,77.0,263.0,237.0
2026-01-14,4099.0,4099.0,4061.0,4075.0,18.0,237.0,239.0
2026-01-15,4092.0,4120.0,4083.0,4108.0,112.0,239.0,193.0
2026-01-16,4061.0,4067.0,4030.0,4038.0,33.0,193.0,202.0
2026-01-19,4042.0,4050.0,4031.0,4031.0,25.0,202.0,201.0
2026-01-20,4013.0,4027.0,4006.0,4010.0,29.0,201.0,208.0
2026-01-21,4002.0,4032.0,3997.0,4019.0,20.0,208.0,204.0
2026-01-22,4041.0,4070.0,4041.0,4062.0,19.0,204.0,201.0
2026-01-23,4060.0,4108.0,4060.0,4100.0,12.0,201.0,202.0
2026-01-26,4125.0,4242.0,4125.0,4242.0,28.0,202.0,197.0
2026-01-27,4191.0,4211.0,4166.0,4168.0,23.0,197.0,199.0
2026-01-28,4163.0,4222.0,4163.0,4212.0,18.0,199.0,196.0
2026-01-29,4212.0,4250.0,4212.0,4250.0,9.0,196.0,192.0
2026-01-30,4287.0,4332.0,4232.0,4250.0,45.0,192.0,192.0
2026-02-02,4285.0,4298.0,4077.0,4097.0,36.0,192.0,190.0
2026-02-03,4122.0,4139.0,4116.0,4118.0,15.0,190.0,196.0
2026-02-04,4131.0,4186.0,4131.0,4183.0,27.0,196.0,189.0
2026-02-05,4148.0,4171.0,4111.0,4111.0,27.0,189.0,191.0
2026-02-06,4130.0,4217.0,4128.0,4205.0,35.0,191.0,186.0
2026-02-09,4191.0,4192.0,4166.0,4174.0,28.0,186.0,199.0
2026-02-10,4181.0,4211.0,4178.0,4211.0,36.0,199.0,177.0
2026-02-11,4233.0,4237.0,4211.0,4224.0,15.0,177.0,176.0
2026-02-12,4225.0,4242.0,4218.0,4236.0,17.0,176.0,173.0
2026-02-13,4203.0,4203.0,4062.0,4091.0,37.0,173.0,186.0
2026-02-24,4242.0,4286.0,4160.0,4247.0,71.0,186.0,147.0
2026-02-25,4197.0,4213.0,4185.0,4211.0,47.0,147.0,165.0
2026-02-26,4306.0,4314.0,4234.0,4235.0,214.0,165.0,302.0
2026-02-27,4225.0,4235.0,4186.0,4206.0,58.0,302.0,280.0
2026-03-02,4273.0,4462.0,4229.0,4462.0,378.0,280.0,395.0
2026-03-03,4577.0,4592.0,4541.0,4592.0,549.0,395.0,491.0
2026-03-04,4885.0,4997.0,4634.0,4877.0,1087.0,491.0,533.0
