time,open,high,low,close,volume,open_oi,close_oi
2025-09-15,761.0,764.5,752.5,757.0,1125.0,0.0,839.0
2025-09-16,753.5,770.0,753.5,762.5,966.0,839.0,1072.0
2025-09-17,763.0,765.5,757.0,763.5,760.0,1072.0,1361.0
2025-09-18,762.5,768.0,757.0,759.0,1321.0,1361.0,1989.0
2025-09-19,760.5,767.5,757.0,764.0,1375.0,1989.0,2342.0
2025-09-22,766.0,775.0,762.5,766.0,1459.0,2342.0,2741.0
2025-09-23,803.0,803.0,756.5,760.0,1265.0,2741.0,3294.0
2025-09-24,759.5,766.0,758.5,762.0,847.0,3294.0,3385.0
2025-09-25,762.0,768.0,761.5,765.0,911.0,3385.0,3626.0
2025-09-26,764.0,765.5,748.5,750.5,1548.0,3626.0,4243.0
2025-09-29,750.5,750.5,741.5,743.0,1336.0,4243.0,4400.0
2025-09-30,744.0,746.0,739.5,740.5,929.0,4400.0,4622.0
2025-10-09,742.0,752.0,737.0,750.5,1545.0,4622.0,4396.0
2025-10-10,751.0,761.0,750.0,753.0,1530.0,4396.0,4637.0
2025-10-13,757.0,761.0,750.0,759.0,2570.0,4637.0,4703.0
2025-10-14,759.0,764.0,731.5,739.5,4976.0,4703.0,6744.0
2025-10-15,740.0,743.0,731.5,733.0,2708.0,6744.0,7246.0
2025-10-16,734.0,736.5,725.0,731.0,3309.0,7246.0,8226.0
2025-10-17,731.5,734.5,726.0,728.5,2846.0,8226.0,9593.0
2025-10-20,729.0,732.5,723.0,727.5,4099.0,9593.0,10662.0
2025-10-21,727.5,735.5,722.5,729.5,3194.0,10662.0,11100.0
2025-10-22,730.5,735.5,730.0,731.0,1696.0,11100.0,11098.0
2025-10-23,732.5,739.0,727.5,735.0,3095.0,11098.0,12092.0
2025-10-24,737.0,737.0,725.5,730.0,4469.0,12092.0,13932.0
2025-10-27,730.5,743.0,728.5,742.5,4521.0,13932.0,13572.0
2025-10-28,744.0,750.0,741.0,747.0,3581.0,13572.0,13918.0
2025-10-29,748.5,762.5,747.5,760.0,4941.0,13918.0,14627.0
2025-10-30,763.5,765.0,753.5,758.5,3513.0,14627.0,15713.0
2025-10-31,755.0,758.5,749.5,755.0,3938.0,15713.0,16901.0
2025-11-03,756.0,757.0,738.0,740.5,5813.0,16901.0,18848.0
2025-11-04,740.5,742.0,733.0,735.5,6349.0,18848.0,21633.0
2025-11-05,734.0,734.5,726.0,734.0,5909.0,21633.0,23138.0
2025-11-06,733.0,737.0,730.0,735.0,3515.0,23138.0,23203.0
